"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"269",0,3,0,0,3,2,0,4,3,4
"270",0,0,0,0,0,0,0,0,0,0
"271",0,0,0,0,1,1,0,0,1,2
"272",0,3,0,0,3,0,0,1,0,5
"273",0,0,0,0,1,0,0,0,1,1
"274",0,0,0,0,1,0,0,0,0,1
"275",0,0,0,0,0,0,0,0,0,0
"276",0,2,0,0,2,0,1,1,0,3
"277",0,1,0,0,1,0,0,0,0,2
"278",0,2,0,1,2,2,2,2,3,3
"279",0,0,0,0,1,0,0,0,0,1
"280",0,1,0,0,1,0,0,1,0,1
"281",0,1,0,0,2,0,1,1,0,3
"282",0,0,0,0,0,0,0,0,0,0
"283",0,0,0,0,0,0,0,0,0,0
"284",0,0,0,0,1,0,0,0,0,2
"285",0,1,0,0,0,0,0,1,0,1
"286",0,1,0,0,0,0,0,1,0,2
"287",0,0,0,0,1,1,0,1,0,1
"288",0,1,0,0,1,0,1,1,1,3
"289",1,1,1,1,1,2,0,0,1,2
"290",0,1,0,1,1,1,1,1,1,1
"291",0,0,0,0,0,0,0,0,0,0
"292",0,0,0,0,0,0,0,0,0,0
"293",0,0,0,0,2,1,0,0,0,3
"294",0,0,0,0,1,0,1,0,0,1
"295",0,0,0,0,1,0,0,0,0,1
"296",0,0,0,0,0,0,0,0,0,0
"297",0,0,0,0,0,0,0,0,0,0
"298",0,0,0,0,1,1,0,0,0,2
"299",0,0,0,0,0,0,0,0,0,0
"300",0,0,0,1,0,0,0,0,0,0
"301",0,1,0,0,2,1,1,1,0,3
"302",0,1,0,0,1,0,0,0,0,3
"303",0,0,0,0,1,0,0,0,0,1
"304",0,1,0,0,1,0,0,0,0,1
"305",0,0,0,0,1,1,0,0,0,2
"306",0,0,0,0,1,1,0,0,0,1
"307",0,6,0,2,4,1,4,2,1,6
"308",0,0,0,0,0,0,0,0,0,0
"309",0,0,0,0,0,0,0,0,0,0
"310",0,0,0,0,1,1,0,0,0,2
"311",0,0,0,0,0,0,0,0,0,0
"312",1,2,0,0,3,1,1,1,0,3
"313",0,1,0,0,0,0,0,1,0,1
"314",0,0,0,0,1,0,0,0,1,2
"315",0,0,0,0,3,1,0,1,0,4
"316",0,1,0,0,2,1,1,1,0,3
"317",0,0,0,0,0,0,0,0,0,0
"318",0,0,0,0,3,1,0,1,0,4
"319",0,3,0,0,4,1,0,1,0,6
"320",0,1,0,0,2,1,0,0,0,3
"321",0,1,0,0,1,0,1,1,0,1
"322",0,0,0,0,1,1,0,0,0,1
"323",0,0,0,0,0,0,0,0,0,0
"324",0,0,0,0,0,0,0,0,0,0
"325",0,0,0,0,1,1,0,0,1,1
"326",0,2,0,0,1,0,0,1,0,1
"327",0,1,0,0,1,0,0,1,0,1
"328",2,0,1,0,0,1,0,0,2,0
"329",0,0,0,0,0,0,0,1,0,0
"330",0,1,0,0,2,0,0,1,0,3
"331",0,1,0,0,2,1,1,1,0,2
"332",0,0,0,0,1,0,1,1,0,1
"333",0,2,0,0,3,1,1,2,0,3
"334",0,0,0,0,1,0,0,0,0,1
"335",0,0,0,0,1,0,0,0,0,1
"336",0,1,0,0,1,0,0,0,0,1
"337",0,1,0,0,2,1,0,0,0,2
"338",0,1,0,0,0,0,0,1,0,1
"339",0,0,0,0,0,0,0,0,0,0
"340",0,0,0,1,2,1,0,0,0,2
"341",0,1,0,0,3,1,1,1,0,3
"342",0,0,0,0,0,0,0,0,0,0
"343",0,1,0,0,2,1,1,1,0,2
"344",0,0,0,0,1,0,0,0,0,2
"345",0,0,0,0,0,0,0,0,0,0
"346",0,0,0,0,0,0,0,0,0,0
"347",0,0,0,0,0,0,0,0,1,0
"348",0,0,0,0,0,0,0,0,0,0
"349",0,0,0,0,0,0,0,0,0,0
"350",0,0,0,0,0,0,0,0,0,0
"351",0,0,0,0,0,0,0,0,0,0
"352",0,1,0,0,2,0,0,0,0,2
